id,fname,lname,phone_number,home_number,home_addr,work_addr
29124437327,Domingo,Trusslove,['3352176013'],['0759800898'],21 Pankratz Hill,Madrid
30709192181,Stern,Dunridge,"['5840335698', '7470547500']",['1436534329'],52 Pearson Drive,Barcelona
48939079345,Worth,Signoret,['2827653525'],['0501569926'],6 Swallow Hill,Sevilla
66771427129,Beret,Eva,['7964113785'],['7567392784'],9679 Almo Center,Bilbao
76040869965,Kendra,Peatt,"['3498343168', '5698573642']",['6977183770'],80 Clarendon Drive,Valencia
36325003642,Keene,Klees,['2596538784'],['4882799523'],59 Hollow Ridge Pass,Zaragoza
32004166285,Jesus,Vickerman,"['0459798760', '1422028483']",['1021920466'],4319 Fallview Avenue,Málaga
51516358816,Kennedy,Allam,"['6807150470', '2827653525']",['1141546451'],91268 Riverside Plaza,Murcia
08239486699,Erinna,Howard,['2076587111'],['5180588068'],9 Browning Park,Granada
66893764440,Michale,Blaxton,['5933608863'],['2568674748'],2 Blaine Street,Vigo
75997393486,Waneta,Foulcher,['3352176013'],['1169425894'],4 Lake View Plaza,Palma
59428098650,Denis,Koche,"['4996677978', '1422028483']",['8752816238'],2714 West Way,A Coruña
60545409967,Diane-marie,Blackhall,['7963038009'],['4102892641'],216 Susan Road,Santa María de Gracia
18312020154,Orren,Blankman,"['2076587111', '2596538784']",['6839376598'],27038 Superior Alley,Gijón
98611026831,Rubie,Sacco,"['5367820076', '4366429894']",['5833635976'],0 Spenser Crossing,Valladolid
43369156500,Halette,Wardington,"['2922659173', '5623744756']",['4634711128'],864 Schurz Point,Córdoba
95018113252,Konstantin,Sexcey,['2596538784'],['0745795317'],7463 Monica Park,Alicante
56624395513,Alta,Wealthall,"['9363249144', '5623744756']",['8505334426'],1 Grayhawk Pass,Cádiz
88382401895,Drusilla,Yole,['5698573642'],['6839376598'],9145 Hoard Plaza,Pamplona
86793408438,Georgette,De Atta,"['2827653525', '5895011367']",['8744658082'],0 Mendota Road,Oviedo
29729036431,Wayne,Pucker,['8921263648'],['5651932788'],328 Westport Junction,Zuazo de Vitoria
07817867845,Rhodia,Sankey,['4366429894'],['0427496960'],28 Sommers Way,Santander
93034529454,Town,Bartul,"['9363249144', '5933608863']",['5150357898'],58503 Hansons Pass,Cartagena
54847894683,Farand,Nerger,"['5895011367', '0597452145']",['6977183770'],1449 Badeau Way,Marbella
72878293951,Isidore,Daniaud,['5623744756'],['5209243979'],5285 Carioca Lane,Mataró
44837252552,Drugi,Brockest,['9282367172'],['4566223662'],3 Karstens Avenue,Almería
35827184932,Willie,Luther,['8921263648'],['2568674748'],07272 Prairieview Circle,Burgos
10173069425,Eudora,Grabeham,['3968030179'],['7517132130'],8514 Schurz Place,Salamanca
82244295396,Dorothy,Rottcher,['1422028483'],['5150357898'],3214 Schmedeman Point,Albacete
85500318820,Tarra,Hallt,"['2422369799', '6517561299']",['5150357898'],89 Vernon Trail,Huelva
24639386361,Louie,Spat,['3450081891'],['5833635976'],94776 Bay Place,Logroño
71847116900,Reiko,Ceccoli,"['6517561299', '8524922331']",['6977183770'],378 Kenwood Lane,Badajoz
56384811309,Coralie,Adamiak,['5933608863'],['6575055799'],0 North Junction,León
99637030551,Luciana,Narramore,['2744224829'],['0654632276'],12 Morningstar Drive,Tarragona
50946782264,Sidney,Sheldrick,"['9363249144', '3450081891']",['9237710773'],511 Gulseth Parkway,Ourense
21309818984,Bette,Philipard,"['4996677978', '0351801367']",['9061507796'],57 Ridgeway Crossing,Jaén
87043326350,Sheri,Arlott,"['3961468313', '2744224829']",['5833635976'],25 Hayes Avenue,Algeciras
39458331448,Juliet,Leith-Harvey,['2922659173'],['1350984450'],134 Hermina Avenue,Santiago de Compostela
45952120893,Kayle,Gasson,"['5940883480', '2076587111']",['0427496960'],9 Jenifer Place,Lorca
37621802039,Leonore,Cresser,"['4996677978', '3261617978']",['9670090443'],57 Trailsway Hill,Toledo
59135813675,Claretta,Mees,"['3352176013', '5698573642']",['8752816238'],51537 Susan Hill,
70604911889,Myrle,Foro,['3450081891'],['0654632276'],87 Weeping Birch Terrace,
28437281799,Eddy,Blindermann,['1098744377'],['0759800898'],27 Macpherson Terrace,
79351147860,Morie,Waterland,"['2561786585', '5367013845']",['5833635976'],668 Rusk Terrace,
54196388548,Zorah,Wickie,"['2922659173', '8353753359']",['8744658082'],8 Bowman Alley,
50158684919,Billye,Cridge,['3961468313'],['7117787319'],662 Scofield Point,
09506034081,Jacenta,Cobbledick,['8921263648'],['3102233643'],6 Muir Trail,
50072688772,Xymenes,Plenderleith,"['3261617978', '6517561299']",['5150357898'],72578 Carey Center,
87283748483,Charline,Marchant,"['7964113785', '2744224829']",['5150357898'],482 Oriole Drive,
39030957803,Lisette,Critchlow,"['5623744756', '3261617978']",['1350984450'],9 Pennsylvania Park,
